stateid,period,CLEIV,CLTCE,FFTCE,NGEIV,NNTCE,NUEGV,PAEIV,PMTCE
WA,2020,126.3,5.7,68.2,293.8,18.7,63.8,1.8,43.8
WA,2021,99.2,3.5,73.5,491.5,20.2,54.3,2.1,49.8
WA,2022,130.0,4.0,74.9,700.3,20.0,66.2,6.3,50.8
WA,2023,182.2,4.7,76.3,851.7,21.2,57.7,6.3,50.4
WI,2016,747.9,34.1,95.2,338.0,26.2,75.4,6.7,34.9
WI,2017,816.8,37.2,98.3,349.2,26.4,72.1,8.3,34.8
WI,2018,779.9,34.6,100.8,424.7,29.5,71.9,10.9,36.7
WI,2019,582.7,26.8,94.6,414.1,31.0,68.0,11.6,36.8
WI,2020,463.3,23.9,86.8,396.0,29.9,63.3,5.2,33.0
WI,2021,567.9,27.5,92.4,571.7,29.4,75.9,46.1,35.6
WI,2022,542.9,22.3,90.8,1047.8,32.6,61.9,18.0,35.9
WI,2023,527.6,21.1,86.2,730.9,29.6,59.6,24.2,35.6
WV,2016,1619.7,71.8,94.3,26.7,9.7,0.0,14.2,12.7
WV,2017,1502.8,67.9,90.7,33.7,10.3,0.0,15.8,12.5
WV,2018,1323.8,63.2,89.0,37.1,11.4,0.0,27.7,14.3
WV,2019,1237.4,59.4,85.3,38.5,12.4,0.0,20.5,13.6
WV,2020,1025.3,51.6,76.7,35.7,13.6,0.0,18.0,11.5
WV,2021,1168.5,60.6,88.2,87.2,14.3,0.0,28.5,13.3
WV,2022,1193.6,51.4,79.1,121.2,14.5,0.0,43.0,13.2
WV,2023,1308.3,45.3,74.6,64.6,15.9,0.0,37.6,13.4
WY,2016,712.4,43.7,61.2,14.4,6.8,0.0,4.9,10.7
WY,2017,710.1,43.8,62.8,5.3,8.1,0.0,6.2,10.8
WY,2018,712.9,43.6,63.8,7.4,9.0,0.0,6.9,11.2
WY,2019,617.4,39.2,59.0,10.6,8.8,0.0,6.8,10.9
WY,2020,618.4,37.2,55.5,13.6,8.7,0.0,5.6,9.7
WY,2021,593.4,36.1,54.5,48.8,8.3,0.0,11.3,10.1
WY,2022,594.0,37.4,56.3,86.2,8.9,0.0,14.2,10.0
WY,2023,642.3,35.1,54.3,103.7,9.3,0.0,10.6,9.9
