Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Raw Cost (Millions of $),CO2 Emissions (Million Metric Tons),Cost ($/MWh),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2022,CA,TSN,estimated total solar,,62909.92353,,,,,27.3175,,,0,,0.0
2022,FL,TSN,estimated total solar,,13884.58416,,,,,31.01,,,0,,0.0
2022,KY,COW,all coal products,8.85,47053.32664,2.51,502.52881,1194.1,50.1,25.37758932829409,10679.9847297683,31.947611221669064,95,1014.5985493279886,0.02501244393174299
2022,IL,NG,natural gas,,19789.29049,,176.08612,1025.3,59.4,51.81085196147424,8898.051200419768,38.34547501636131,53,471.59671362224776,0.10986262301008122
2022,AL,PET,petroleum,,40.91709,,0.71551,11.0,39.8,268.83632242664373,17486.825187226164,19.511832270688046,73,1276.5382386675103,0.21059793924172873
2022,ID,WNT,onshore wind turbine,,2441.688,,8.33103,,,29.555555555555557,3411.9961272693317,100.00011350337232,0,0.0,inf
2022,MI,TSN,estimated total solar,,1105.07436,,,,,53.078,,,0,,0.0
2022,NJ,NUC,nuclear,,28318.8,,295.86403,179.2,,6.327951749367911,10447.618896280916,32.65815908747001,0,0.0,inf
2022,VA,COW,all coal products,16.73,3346.07301,1.52,38.5527,110.8,6.4,33.11344363044846,11521.77489396742,29.613492985238395,95,1094.568614926905,0.03025250603650806
2022,AK,WNT,onshore wind turbine,,139.276,,0.47521,,,,3412.002067836526,99.99993939521475,0,0.0,0.0
2022,NC,NG,natural gas,,58131.39645,,489.05511,3494.4,39.3,60.11209455471459,8412.925542235103,40.55664088396909,53,445.88505373846044,0.13481522659419326
2022,AR,TSN,estimated total solar,,966.73478,,,,,43.7,,,0,,0.0
2022,OR,WNT,onshore wind turbine,,8149.18841,,27.80503,,,29.555555555555557,3411.9998950913937,100.00000307469547,0,0.0,inf
2022,OR,NG,natural gas,,19054.76026,,147.43982,797.2,15.6,41.83731461966975,7737.689584555289,44.095850094716596,53,410.0975479814303,0.10201795847256367
2022,WA,PET,petroleum,,43.723,,1.48453,6.3,50.8,144.0889234499005,33953.068179219175,10.049165459775148,73,2478.5739770829996,0.05813379983093215
2022,WA,NG,natural gas,,14532.32189,,121.99845,700.3,20.0,48.18913352599844,8394.973007303792,40.64337070567699,53,444.93356938710093,0.10830635591820889
2022,NC,NUC,nuclear,,42644.282,,445.53121,249.5,,5.850725778429099,10447.618979726285,32.65815882662856,0,0.0,inf
2022,ME,TSN,estimated total solar,,768.03807,,,,,62.06,,,0,,0.0
2022,KS,TSN,estimated total solar,,161.27242,,,,,29.33,,,0,,0.0
2022,NC,COW,all coal products,9.04,14673.74341,1.8,161.93508,539.9,15.6,36.79361052695415,11035.703397242383,30.9178298580641,95,1048.3918227380263,0.035095285683230844
2022,ND,TSN,estimated total solar,,1.71878,,,,,43.7,,,0,,0.0
2022,PA,NUC,nuclear,,76166.017,,795.75352,503.0,,6.603995059896594,10447.61891645194,32.65815902441751,0,0.0,inf
2022,IN,WNT,onshore wind turbine,,9985.205,,34.06953,,,27.0,3412.0010555617037,99.99996906326561,0,0.0,inf
2022,LA,NUC,nuclear,,16164.721,,168.88284,92.5,,5.7223381708846075,10447.618613398896,32.65815997172951,0,0.0,inf
2022,ID,COW,all coal products,,6.26699,,0.45803,0.0,0.2,0.0,73086.12268409555,4.668464921511692,95,6943.181654989078,0.0
2022,MN,PET,petroleum,,-61.47689,,0.85498,14.5,38.5,,-13907.33981501016,-24.53380765398021,73,-1015.2358064957417,0.0
2022,MS,TSN,estimated total solar,,525.92121,,,,,44.54,,,0,,0.0
2022,MS,NG,natural gas,,51719.17121,,397.67245,2497.5,32.4,48.289636929006,7689.072363230548,44.37466366315292,53,407.520835251219,0.11849611787146422
2022,NE,COW,all coal products,4.89,19945.26948,0.26,220.61637,266.2,21.4,13.346523107493256,11061.087453404516,30.846876623779096,95,1050.803308073429,0.0127012572238311
2022,OK,WNT,onshore wind turbine,,37552.755,,128.13,,,29.0,3411.999998402248,100.00000004682744,0,0.0,inf
2022,OK,NG,natural gas,,36022.92097,,309.79243,2230.9,40.2,61.930014000194504,8599.869795622517,39.67501928618463,53,455.79309916799343,0.13587308389100625
2022,SD,COW,all coal products,5.18,1874.80217,0.33,20.55732,42.7,2.4,22.775736386095605,10965.060916267235,31.117018191281744,95,1041.6807870453874,0.021864410546244658
2022,SC,TSN,estimated total solar,,2941.99521,,,,,31.01,,,0,,0.0
2022,SC,NUC,nuclear,,54369.751,,568.09624,325.2,,5.981267046818,10448.755595735578,32.65460627093747,0,0.0,inf
2022,PA,PET,petroleum,,312.6673,1.42,3.60616,83.5,71.4,267.0570283493029,11533.537405414638,29.58329157885396,73,841.9482305952686,0.31718936942297515
2022,OR,TSN,estimated total solar,,2012.52449,,,,,28.02125,,,0,,0.0
2022,OH,TSN,estimated total solar,,1246.67228,,,,,48.086,,,0,,0.0
2022,UT,TSN,estimated total solar,,4628.93709,,,,,28.02125,,,0,,0.0
2022,UT,PET,petroleum,,31.03924,,0.32152,9.2,22.3,296.39900976956915,10358.50104577303,32.93912878825578,73,756.1705763414311,0.3919737411678091
2022,TN,NUC,nuclear,,35635.4,,372.65045,218.8,,6.139961947950633,10457.310707891591,32.62789158043416,0,0.0,inf
2022,AL,COW,all coal products,6.55,25943.99013,0.43,264.51125,743.9,28.5,28.67330723888153,10195.47296597742,33.465833428090484,95,968.569931767855,0.029603755287495228
2022,ME,COW,all coal products,6.97,42.44227,0.94,1.26928,5.8,0.1,136.65621560769486,29906.034714919813,11.409068545947312,95,2841.0732979173827,0.04810020766020686
2022,SC,COW,all coal products,9.24,14243.46192,2.0,149.27133,525.5,14.5,36.89412047095921,10479.989404149015,32.55728482558573,95,995.5989933941565,0.03705720949473968
2022,MD,NUC,nuclear,,14810.684,,154.73638,90.9,,6.137461308336603,10447.618759538722,32.65815951491175,0,0.0,inf
2022,TN,PET,petroleum,,146.61361,,2.20465,56.9,48.8,388.0949387986559,15037.14423238061,22.69047863923979,73,1097.7115289637845,0.353549114278693
2022,MN,WNT,onshore wind turbine,,15091.227,,51.49124,,,28.0,3411.9982424225677,100.00005151167461,0,0.0,inf
2022,MN,TSN,estimated total solar,,2144.36494,,,,,43.7,,,0,,0.0
2022,ND,NG,natural gas,,1453.35858,,16.35288,44.8,10.3,30.82515259241804,11251.786190301362,30.324074260680696,53,596.3446680859722,0.05169016215296172
2022,HI,WNT,onshore wind turbine,,625.42187,,2.13394,,,,3412.0009266705047,99.99997284084839,0,0.0,0.0
2022,VT,PET,petroleum,,5.26506,,0.10472,1.4,4.8,265.90390232969804,19889.611894261416,17.154683651642475,73,1451.9416682810831,0.18313676653725003
2022,VT,NG,natural gas,,1.49874,,0.09495,0.1,0.7,66.72271374621349,63353.216702029706,5.385677598736177,53,3357.7204852075743,0.019871431836020945
2022,VA,NG,natural gas,,48801.98702,,393.07743,2601.8,35.0,53.31340297545122,8054.537407235268,42.36121613806216,53,426.8904825834692,0.12488777602350724
2022,MT,NG,natural gas,,728.75784,,8.58504,33.4,4.9,45.83141088403248,11780.374122630365,28.96342649632384,53,624.3598284994093,0.07340544473238134
2022,GA,TSN,estimated total solar,,7331.77903,,,,,31.01,,,0,,0.0
2022,RI,PET,petroleum,,60.05078,,0.64758,12.0,5.2,199.8308764682157,10783.87324860726,31.639837759041363,73,787.2227471483301,0.2538428636521134
2022,DC,TSN,estimated total solar,,198.1141,,,,,48.086,,,0,,0.0
2022,RI,NG,natural gas,,6963.77276,,54.82586,434.2,4.9,62.3512591470604,7873.011065915367,43.33792968704914,53,417.2695864935145,0.1494268002396803
2022,HI,TSN,estimated total solar,,1881.68869,,,,,,,,0,,0.0
2022,HI,COW,all coal products,7.58,647.75791,0.21,7.6795,29.5,0.7,45.54170554243019,11855.509414003142,28.779868336740677,95,1126.2733943302985,0.04043574657067175
2022,NY,NUC,nuclear,,26812.164,,280.12327,177.1,,6.605210978121721,10447.618849414766,32.65815923396867,0,0.0,inf
2022,CT,NUC,nuclear,,16464.167,,172.01134,101.1,,6.140608267639656,10447.618758969098,32.65815951669233,0,0.0,inf
2022,CT,NG,natural gas,,24530.68681,,181.70682,1509.7,16.2,61.543323743571946,7407.327051516826,46.06249968807995,53,392.5883337303918,0.1567629969000468
2022,DE,NG,natural gas,,4749.64478,,45.73557,215.0,4.7,45.266543069774585,9629.261159189258,35.43366353444375,53,510.3508414370307,0.08869691081984778
2022,AR,COW,all coal products,4.74,20360.86942,0.22,210.02669,486.8,20.3,23.90860576522474,10315.212266608605,33.07736100637494,95,979.9451653278174,0.02439790164914654
2022,WY,TSN,estimated total solar,,208.87296,,,,,28.02125,,,0,,0.0
2022,WY,PET,petroleum,,53.03027,,0.57641,14.2,10.0,267.77159535487937,10869.452484401832,31.39072556687081,73,793.4700313613338,0.33746907226662526
2022,CA,COW,all coal products,8.52,251.5649,0.42,12.68828,0.0,2.9,0.0,50437.402038201675,6.764821069522426,95,4791.553193629159,0.0
2022,WA,COW,all coal products,8.28,3565.97183,0.39,42.20367,130.0,4.0,36.4557002123037,11835.110318299963,28.829473559906045,95,1124.3354802384965,0.032424219330489
2022,WA,WNT,onshore wind turbine,,8060.912,,27.50383,,,29.555555555555557,3411.9997836473094,100.00000634093507,0,0.0,inf
2022,NE,PET,petroleum,,35.10891,,0.47292,11.1,16.5,316.1590604778103,13470.084944249194,25.33020403450901,73,983.3162009301911,0.32152329045197486
2022,IA,TSN,estimated total solar,,693.46297,,,,,43.7,,,0,,0.0
2022,FL,NUC,nuclear,,30768.329,,321.45578,155.6,,5.057148212371234,10447.61904359512,32.65815862698129,0,0.0,inf
2022,OK,COW,all coal products,5.13,8954.03136,0.26,103.53176,265.1,10.2,29.60677591372653,11562.586262820501,29.508969035511427,95,1098.4456949679477,0.026953336017754112
2022,WY,COW,all coal products,7.0,33517.8958,0.41,385.02786,594.0,37.4,17.72187620441257,11487.23244136346,29.702541647142098,95,1091.2870819295285,0.016239426359815543
2022,OR,PET,petroleum,,1.6679,,0.01648,0.3,21.6,179.86689849511362,9880.68829066491,34.53200728155339,73,721.2902452185383,0.24936826705678947
2022,OH,COW,all coal products,9.24,42992.71249,3.65,446.94354,1258.2,51.4,29.265424932019688,10395.797662312143,32.82095430127035,95,987.6007779196535,0.02963284921025101
2022,CO,TSN,estimated total solar,,3771.73947,,,,,28.02125,,,0,,0.0
2022,MO,WNT,onshore wind turbine,,7524.605,,25.67395,,,28.0,3411.9996996520085,100.00000880269688,0,0.0,inf
2022,AZ,NUC,nuclear,,31942.793,,333.72613,220.3,,6.896704367711364,10447.61896681984,32.65815886697275,0,0.0,inf
2022,AZ,NG,natural gas,,45053.24482,,350.62444,2939.2,24.7,65.23836433408749,7782.445890431206,43.84225792299019,53,412.4696321928539,0.15816525446310847
2022,MS,NUC,nuclear,,8600.33,,89.85297,55.8,,6.488123130158959,10447.618870438693,32.65815916825009,0,0.0,inf
2022,CO,WNT,onshore wind turbine,,16911.126,,57.70075,,,29.555555555555557,3411.9992956116585,100.00002064444568,0,0.0,inf
2022,CO,PET,petroleum,,27.20574,,0.37589,10.0,36.7,367.5694908500927,13816.569591564135,24.694986533294312,73,1008.6095801841818,0.36443188531182796
2022,VT,TSN,estimated total solar,,413.50692,,,,,62.06,,,0,,0.0
2022,TN,WNT,onshore wind turbine,,14.865,,0.05072,,,,3412.041708711739,99.99877760252366,0,0.0,0.0
2022,DC,NG,natural gas,,80.27208,,1.20223,0.0,1.6,0.0,14976.938432391436,22.78169210217679,53,793.7777369167461,0.0
2022,TN,NG,natural gas,,16520.81238,,159.15619,722.1,22.9,43.708504363512425,9633.678195672363,35.417417217991954,53,510.5849443706351,0.08560476536845217
2021,HI,WNT,onshore wind turbine,0.0,657.891,0.0,5.81839,,,,8844.003033937233,38.579814897248205,0,0.0,0.0
2021,MD,PET,petroleum,0.0,72.66898,0.0,1.1622,17.8,29.9,244.94633060764025,15993.06884450559,21.33424193426261,73,1167.494025648908,0.2098052111842679
2021,MD,NUC,nuclear,0.0,14993.633,0.0,156.37029,114.1,,7.6098968142010674,10429.11281075107,32.71610981600149,0,0.0,inf
2021,SC,TSN,estimated total solar,,2707.4398,,,,,27.045,,,0,,0.0
2021,SC,PET,petroleum,0.0,86.1746,1.2,1.22253,13.8,35.2,160.13999484766975,14186.662891385631,24.050758279960405,73,1035.626391071151,0.15463104863717944
2021,SC,NUC,nuclear,0.0,53771.428,0.0,560.84102,564.1,,10.49070149299364,10430.093468970175,32.713033782015444,0,0.0,inf
2021,WI,COW,all coal products,4.96,27441.58672,0.37,282.65966,567.9,27.5,20.694867457722577,10300.41239539519,33.12488732514572,95,978.5391775625429,0.021148736741713005
2021,NV,WNT,onshore wind turbine,0.0,339.944,0.0,3.00647,,,29.666666666666668,8844.015484903395,38.57976058300932,0,0.0,inf
2021,NV,TSN,estimated total solar,,7655.79907,,,,,20.53,,,0,,0.0
2021,IL,WNT,onshore wind turbine,0.0,19133.08783,0.0,169.21303,,,22.666666666666664,8844.00006436389,38.579827851294915,0,0.0,inf
2021,IL,NUC,nuclear,0.0,96994.458,0.0,1011.56616,667.5,,6.881836485956755,10429.112970557555,32.716109314688815,0,0.0,inf
2021,WA,TSN,estimated total solar,,358.59672,,,,,20.53,,,0,,0.0
2021,GA,NG,natural gas,0.0,56673.11501,0.0,444.05863,1762.6,40.6,31.10116674703673,7835.437136667812,43.54575169817553,53,415.2781682433941,0.07489237124742944
2021,FL,NUC,nuclear,0.0,29514.894,0.0,307.81417,168.1,,5.695429568542581,10429.11317926468,32.71610865997495,0,0.0,inf
2021,NH,COW,all coal products,7.6,284.16345,2.88,3.25858,13.0,0.3,45.7483184413759,11467.273500515284,29.754239312829515,95,1089.390982548952,0.04199439794731382
2021,IL,PET,petroleum,0.0,53.97006,0.0,0.65884,11.3,76.2,209.37534625679496,12207.509126356354,27.950009823325843,73,891.1481662240138,0.23495009493647198
2021,IL,NG,natural gas,0.0,20664.59802,0.0,203.18897,738.0,57.0,35.71325216613142,9832.708567732401,34.70050979846002,53,521.1335540898173,0.06852994186587388
2021,DE,WNT,onshore wind turbine,0.0,4.849,0.0,0.04288,,,18.0,8843.060424829862,38.58392723880597,0,0.0,inf
2021,OK,WNT,onshore wind turbine,0.0,32540.31215,0.0,287.78653,,,17.0,8844.00028719454,38.5798268792497,0,0.0,inf
2021,AR,NG,natural gas,0.0,20629.13354,0.0,165.20441,1072.9,18.8,52.008970610405974,8008.305810792672,42.60576557156071,53,424.44020797201165,0.1225354470041998
2021,MN,PET,petroleum,0.0,105.13068,0.0,1.33679,18.7,38.0,177.87386136948797,12715.507975407369,26.833375486052415,73,928.232082204738,0.19162649598040368
2021,NJ,PET,petroleum,0.0,36.98351,0.0,0.42193,3.4,50.8,91.93286413323126,11408.598048157139,29.907268058682718,73,832.8276575154711,0.1103864206521305
2021,NJ,NG,natural gas,0.0,29542.81514,0.0,237.35384,829.3,36.7,28.0711230825513,8034.232312499925,42.468276585573676,53,425.814312562496,0.06592339020645613
2021,HI,TSN,estimated total solar,,1758.03099,,,,,,,,0,,0.0
2021,CT,PET,petroleum,0.0,45.94954,0.3,1.03783,9.4,19.8,204.57223293203805,22586.29792594224,15.106504001618761,73,1648.7997485937835,0.12407342559732444
2021,CT,NUC,nuclear,0.0,17216.509,0.0,179.55292,131.1,,7.614784158623563,10429.113126244118,32.71610882630035,0,0.0,inf
2021,CO,WNT,onshore wind turbine,0.0,15125.697,0.0,133.77166,,,29.666666666666668,8843.999717831184,38.57982936296074,0,0.0,inf
2021,CO,PET,petroleum,0.0,27.80917,0.0,0.36978,7.0,34.0,251.7155312438307,13297.052734763387,25.65982152631295,73,970.6848496377273,0.25931746162286795
2021,CT,COW,all coal products,0.0,244.64713,0.0,2.87962,11.5,0.3,47.00647826933429,11770.503909038296,28.98771391919767,95,1118.197871358638,0.04203771038503253
2021,LA,NUC,nuclear,0.0,17248.674,0.0,179.88837,96.3,,5.583037861345168,10429.112985728641,32.716109267097146,0,0.0,inf
2021,LA,COW,all coal products,6.06,7872.9514,0.53,91.48142,468.5,9.2,59.50754376560739,11619.711001899492,29.363897255639447,95,1103.8725451804517,0.05390798423732841
2021,RI,WNT,onshore wind turbine,0.0,87.952,0.0,0.77784,,,,8843.914862652357,38.58019952689499,0,0.0,0.0
2021,MT,COW,all coal products,9.17,10876.45398,0.65,120.12108,273.7,11.8,25.164451622126936,11044.139957828425,30.894211890002985,95,1049.1932959937003,0.0239845714971839
2021,IA,WNT,onshore wind turbine,0.0,37098.274,0.0,328.09712,,,22.166666666666664,8843.99958876793,38.57982992596826,0,0.0,inf
2021,NJ,NUC,nuclear,0.0,28142.099,0.0,293.49713,203.1,,7.216945686958176,10429.112981231428,32.71610928120489,0,0.0,inf
2021,TX,COW,all coal products,8.18,88818.13948,0.51,962.42605,2081.8,92.8,23.438905748175216,10835.917703688427,31.487872954577657,95,1029.4121818504004,0.02276921350011912
2021,WA,NUC,nuclear,0.0,8511.288,0.0,88.76519,54.3,,6.379762968894955,10429.113666462703,32.71610713163572,0,0.0,inf
2021,AZ,WNT,onshore wind turbine,0.0,1600.319,0.0,14.15322,,,29.666666666666668,8843.999227653987,38.579831501241415,0,0.0,inf
2021,CO,TSN,estimated total solar,,2786.11122,,,,,20.53,,,0,,0.0
2021,CO,COW,all coal products,6.19,23602.04163,0.32,248.96744,398.7,24.2,16.892606421523375,10548.555243777866,32.34566176266262,95,1002.1127481588974,0.01685699184304244
2021,OK,NG,natural gas,0.0,33857.23754,0.0,285.84346,3385.2,38.8,99.98453051583488,8442.610229564523,40.414041477975395,53,447.45834216691975,0.22344991945314246
2021,WY,TSN,estimated total solar,,196.89137,,,,,20.53,,,0,,0.0
2021,WY,NG,natural gas,0.0,1500.7007,0.0,20.00416,48.8,8.3,32.51814302478835,13329.87983546619,25.596629842992662,53,706.4836312797081,0.0460281619913624
2021,OH,NG,natural gas,0.0,56380.78218,0.0,431.29116,1516.1,67.8,26.890368337915813,7649.612923479311,44.60356405129194,53,405.42948494440344,0.06632563574305231
2021,ND,TSN,estimated total solar,,1.22855,,,,,29.088,,,0,,0.0
2021,PA,COW,all coal products,18.03,29297.30847,2.7,322.81746,923.5,45.9,31.521666945810058,11018.67293818339,30.965616450745877,95,1046.773929127422,0.030113156306907772
2021,MI,WNT,onshore wind turbine,0.0,7696.887,0.0,68.07127,,,22.666666666666664,8844.000178253884,38.57982735447715,0,0.0,inf
2021,MI,COW,all coal products,5.09,37053.90287,0.56,392.29827,804.1,41.6,21.70081793599736,10587.23210281897,32.22749786595796,95,1005.7870497678023,0.021575956800206613
2021,ID,TSN,estimated total solar,,684.10626,,,,,20.53,,,0,,0.0
2021,ID,NG,natural gas,0.0,4935.45448,0.0,46.10791,160.7,7.1,32.5603246167514,9342.181188549834,36.522520074668314,53,495.1356029931411,0.06576041880228606
2021,CT,WNT,onshore wind turbine,0.0,12.758,0.0,0.11283,,,,8843.862674400376,38.58042719134982,0,0.0,0.0
2021,KY,PET,petroleum,0.0,66.08994,0.0,0.9208,14.3,39.3,216.37181089890532,13932.528914385457,24.48945213727194,73,1017.0746107501384,0.21273936898230245
2021,OK,TSN,estimated total solar,,128.19206,,,,,25.42,,,0,,0.0
2021,AK,WNT,onshore wind turbine,0.0,132.212,0.0,1.16928,,,,8843.977853750037,38.57992474001095,0,0.0,0.0
2021,KY,NG,natural gas,0.0,14571.97964,0.0,117.85437,468.0,19.1,32.1164324657264,8087.739134392588,42.1873151854106,53,428.65017412280713,0.07492457580694957
2021,KY,COW,all coal products,8.6,49862.72893,2.5,530.97407,1000.8,52.5,20.071103637447862,10648.716614475918,32.04141985863076,95,1011.6280783752122,0.019840397935261246
2021,PA,NG,natural gas,0.0,126664.87788,0.0,910.08524,2923.2,97.7,23.07822064747409,7184.984940041534,47.487921387073584,53,380.8042018222013,0.0606039023126362
2021,CA,COW,all coal products,8.46,294.15381,0.37,14.38951,0.0,2.7,0.0,48918.31929696916,6.974892124332239,95,4647.24033321207,0.0
2021,ME,TSN,estimated total solar,,293.14863,,,,,,,,0,,0.0
2021,MS,COW,all coal products,9.79,5530.68764,0.51,62.25442,159.3,6.2,28.802928382337644,11256.180795630686,30.3122352239086,95,1069.3371755849153,0.02693531005932041
2021,WY,WNT,onshore wind turbine,0.0,8447.86,0.0,74.71287,,,29.666666666666668,8843.999545447012,38.579830114945395,0,0.0,inf
2021,MD,COW,all coal products,11.42,5173.97896,2.34,59.66669,144.1,6.6,27.850905678982507,11532.070474441976,29.587054705933912,95,1095.5466950719876,0.02542192478354603
2021,ME,WNT,onshore wind turbine,0.0,2544.197,0.0,22.50088,,,,8844.000680764893,38.57982516239365,0,0.0,0.0
2021,NE,NUC,nuclear,0.0,6880.622,0.0,71.75879,43.9,,6.380237135538037,10429.113821395798,32.71610664561094,0,0.0,inf
2021,PA,PET,petroleum,0.0,124.0959,1.42,1.64867,21.2,70.3,170.83561987140592,13285.451010065603,25.68222936063615,73,969.837923734789,0.17614862823009433
2021,MA,TSN,estimated total solar,,4120.1605,,,,,,,,0,,0.0
2021,ND,PET,petroleum,0.0,33.09492,0.0,0.39817,6.3,11.6,190.36154189223,12031.151608766542,28.35971244443328,73,878.2740674399575,0.21674503318435268
2021,DE,COW,all coal products,8.03,276.72937,2.62,4.54157,11.0,0.4,39.75002725587096,16411.593753131445,20.790180718121707,95,1559.1014065474872,0.025495472641445697
2021,MD,NG,natural gas,0.0,13977.17105,0.0,108.23847,445.9,15.8,31.902020688227893,7743.946869706513,44.06021964519639,53,410.4291840944452,0.0777284411648632
2021,VT,WNT,onshore wind turbine,0.0,338.188,0.0,2.99094,,,,8844.015754550723,38.5797594067417,0,0.0,0.0
2021,IA,COW,all coal products,4.94,22106.5942,0.34,266.62582,360.0,25.3,16.284733719859933,12060.918004275845,28.289720556846298,95,1145.7872104062053,0.014212703346624595
2021,MO,PET,petroleum,0.0,258.6941,0.0,3.49858,43.3,42.1,167.3791555354374,13524.003833098628,25.229214972931878,73,987.2522798161999,0.16954040923217614
2021,RI,PET,petroleum,0.0,12.5625,0.0,0.20387,1.6,5.0,127.363184079602,16228.457711442787,21.024795212635503,73,1184.6774129353234,0.10750874684445029
2021,IN,PET,petroleum,0.0,127.81222,0.0,1.62974,24.4,48.8,190.90506369422263,12751.049938730428,26.758580794482555,73,930.8266455273213,0.2050919627317644
2021,SD,PET,petroleum,0.0,38.19249,0.0,0.49074,7.9,8.0,206.8469481827448,12849.122955848126,26.5543415821005,73,937.9859757769133,0.2205224315975705
2021,MS,PET,petroleum,0.0,8.24655,0.0,0.13354,1.1,26.4,133.38911423565008,16193.43846820792,21.070262543058256,73,1182.121008179178,0.11283879849247366
2021,AZ,NUC,nuclear,0.0,31629.862,0.0,329.87141,215.6,,6.816343365646047,10429.113158950868,32.716108723699335,0,0.0,inf
2021,AZ,NG,natural gas,0.0,48053.13267,0.0,371.02881,1764.5,25.6,36.71977042823668,7721.220020097391,44.18990769747503,53,409.22466106516174,0.08973010163331703
2021,WA,WNT,onshore wind turbine,0.0,9297.756,0.0,82.22935,,,29.666666666666668,8843.999562905286,38.57983003878785,0,0.0,inf
2021,WA,PET,petroleum,0.0,32.0241,0.0,1.38091,2.1,49.8,65.57561336618359,43120.96202547457,7.9126249502139885,73,3147.8302278596434,0.020832004466381754
2021,NM,TSN,estimated total solar,,2212.30215,,,,,22.975,,,0,,0.0
2021,MA,WNT,onshore wind turbine,0.0,208.62625,0.0,1.84509,,,,8843.997339740325,38.57983973681501,0,0.0,0.0
2021,NC,TSN,estimated total solar,,10578.4964,,,,,35.082499999999996,,,0,,0.0
2021,NC,PET,petroleum,0.0,194.7418,0.0,3.05626,32.7,60.5,167.91464390284983,15693.908549679625,21.740919345867173,73,1145.6553241266126,0.14656645883512925
2021,AL,NG,natural gas,0.0,54447.87499,0.0,445.80129,1720.8,38.6,31.604539209584313,8187.671053863475,41.67241181959792,53,433.9465658547642,0.07283048581645397
2021,HI,PET,petroleum,0.0,6155.20742,0.46,64.89564,852.4,16.0,138.48436646185354,10543.209281483483,32.36206271644752,73,769.6542775482942,0.17993061365551097
2021,MN,TSN,estimated total solar,,2076.74972,,,,,29.088,,,0,,0.0
2021,VT,PET,petroleum,0.0,2.88537,0.0,0.06078,0.6,4.8,207.94560143066573,21064.889424926438,16.1975690029615,73,1537.73692801963,0.1352283330403386
2021,UT,TSN,estimated total solar,,4136.50742,,,,,20.53,,,0,,0.0
2021,TX,NG,natural gas,0.0,233120.82483,0.0,2138.48218,14914.8,247.2,63.97884020390029,9173.278198373988,37.19499099683682,53,486.1837445138213,0.1315939517226732
2021,CO,NG,natural gas,0.0,14559.77311,0.0,132.83519,943.3,26.6,64.78809751177504,9123.438187973248,37.39818180056052,53,483.54222396258217,0.13398643241709646
2021,DE,TSN,estimated total solar,,195.92042,,,,,43.12,,,0,,0.0
2021,DE,NG,natural gas,0.0,3734.20289,0.0,38.22643,86.2,4.3,23.08390908025889,10236.837988200476,33.3306046645737,53,542.5524133746252,0.042546873834141
2021,AR,NUC,nuclear,0.0,13555.684,0.0,141.37376,75.2,,5.547488418880228,10429.112983158946,32.71610927515828,0,0.0,inf
2021,NC,WNT,onshore wind turbine,0.0,514.703,0.0,4.55203,,,18.0,8843.993526363747,38.5798563717726,0,0.0,inf
2021,NC,COW,all coal products,9.05,20404.63829,1.8,220.83087,564.9,21.3,27.684881837716713,10822.581947371536,31.52667280868838,95,1028.1452850002959,0.02692701337215075
2021,MI,TSN,estimated total solar,,616.14562,,,,,37.938,,,0,,0.0
2021,WY,PET,petroleum,0.0,60.33173,0.0,0.6632,11.3,10.1,187.29779504085164,10992.557316025912,31.039183166465623,73,802.4566840698916,0.23340548936662425
2021,WY,COW,all coal products,6.64,32038.12828,0.41,371.34269,593.4,36.1,18.52168125472029,11590.648703152017,29.437524053956736,95,1101.1116267994416,0.01682089336260715
2021,AZ,COW,all coal products,9.88,14300.57241,0.61,153.94833,355.3,15.4,24.84515932743702,10765.186566402625,31.69475957480019,95,1022.6927238082493,0.024293865350796594
2021,AK,NG,natural gas,0.0,3085.39602,0.0,26.31326,159.4,20.2,51.66273598810178,8528.324996024336,40.00785619204918,53,452.0012247892898,0.11429777875532415
2021,VA,NUC,nuclear,0.0,28571.516,0.0,297.97557,166.5,,5.8274821679045665,10429.113036914106,32.716109106528435,0,0.0,inf
2021,PA,NUC,nuclear,0.0,75902.514,0.0,791.5959,502.1,,6.6150641597984485,10429.113059417241,32.71610903593614,0,0.0,inf
2021,GA,TSN,estimated total solar,,5240.62207,,,,,27.045,,,0,,0.0
2021,GA,PET,petroleum,0.0,179.03062,2.1,5.76659,15.0,63.6,83.78455037467893,32210.07668967465,10.59295832441703,73,2351.3355983462493,0.03563274865298115
2021,VT,NG,natural gas,0.0,2.05353,0.0,0.11918,0.0,0.7,0.0,58036.64908718159,5.879043765732505,53,3075.9424016206244,0.0
2021,ND,COW,all coal products,10.08,24402.79083,0.73,282.00484,445.0,34.7,18.235619159302527,11556.253625438298,29.52513946638647,95,1097.8440944166384,0.016610390539097804
2021,MT,WNT,onshore wind turbine,0.0,3472.646,0.0,30.71208,,,24.666666666666668,8843.999647531018,38.57982966962837,0,0.0,inf
2021,MT,PET,petroleum,0.0,450.73117,0.0,7.68324,27.9,12.1,61.89942443962772,17046.169671380834,20.016226904795374,73,1244.370386010801,0.04974356922625322
2021,WI,TSN,estimated total solar,,548.85439,,,,,32.756,,,0,,0.0
2021,IL,TSN,estimated total solar,,1437.89435,,,,,37.938,,,0,,0.0
