Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Raw Cost (Millions of $),CO2 Emissions (Million Metric Tons),Cost ($/MWh),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2023,MS,NUC,nuclear,,11749.621,,122.80413,79.8,,6.791708430425118,10451.752443759675,32.645243162424585,0,,0.0
2023,WA,TSN,estimated total solar,,882.67969,,,,,28.528,,,0,,0.0
2023,WI,NG,natural gas,,25621.19398,,213.0315,730.9,29.6,28.527163900735587,8314.659346722607,41.035956588466966,53,1155.2935442082,0.024692567567567568
2023,SD,TSN,estimated total solar,,50.22785,,,,,47.09,,,0,,0.0
2023,SD,NG,natural gas,,2115.78026,,21.90664,50.3,5.2,23.7737353689083,10353.929665644959,32.95367179594862,53,2457.7221454935025,0.009673076923076923
2023,NE,NUC,nuclear,,6926.053,,72.38939,47.4,,6.843724701500263,10451.752246192746,32.64524377950968,0,,0.0
2023,AL,TSN,estimated total solar,,1222.82361,,,,,46.27,,,0,,0.0
2023,AK,TSN,estimated total solar,,18.49755,,,,,,,,0,,0.0
2023,OK,PET,petroleum,,19.72744,,0.23934,4.8,36.0,243.3159092107237,12132.339523019711,28.123182618868558,73,1824869.3190804278,0.00013333333333333334
2023,DE,WNT,onshore wind turbine,,4.165,,0.01421,,,,3411.764705882353,100.00689655172413,0,,0.0
2023,FL,TSN,estimated total solar,,17804.32577,,,,,46.27,,,0,,0.0
2023,KY,COW,all coal products,8.85,43447.44888,2.43,464.31623,1159.2,46.2,26.680507829163016,10686.846799277482,31.92709752544295,95,1063.3535729014245,0.02509090909090909
2023,CA,PET,petroleum,,75.04108,,0.92435,8.4,209.1,111.9386874495943,12317.91973143244,27.699482334613506,73,2786473.7554416866,4.017216642754663e-05
2023,CA,NUC,nuclear,,17718.368,,185.18799,106.3,,5.999423874704488,10451.752102676724,32.645244227770924,0,,0.0
2023,CA,NG,natural gas,,94390.15321,,784.85706,5455.5,112.5,57.797342354795816,8315.031105562923,41.03412190144789,53,1191.8616102858637,0.04849333333333333
2023,MD,NUC,nuclear,,14983.751,,156.60645,92.2,,6.153332366508226,10451.752034587334,32.64524444044291,0,,0.0
2023,UT,WNT,onshore wind turbine,,683.468,,2.332,,,27.0,3412.010511099276,99.99969193825044,0,,0.0
2023,UT,NG,natural gas,,11834.24662,,94.23623,729.2,15.7,61.617779603109206,7963.010492002067,42.84811634276966,53,1326.6581730236073,0.04644585987261147
2023,AK,COW,all coal products,6.8,730.68146,0.12,14.93361,49.4,1.8,67.60812023340513,20437.921060704073,16.694457278045963,95,2463.4537736868265,0.027444444444444445
2023,TN,NUC,nuclear,,37937.437,,396.51268,233.3,,6.149598350568596,10451.751919877983,32.645244798728754,0,,0.0
2023,AL,NUC,nuclear,,45579.039,,476.38082,312.3,,6.851833800181702,10451.752174941643,32.64524400205701,0,,0.0
2023,AK,PET,petroleum,,885.27548,,8.75927,132.1,18.5,149.21908827747043,9894.400328358806,34.4841515076028,73,20897.449910168078,0.00714054054054054
2023,TN,PET,petroleum,,102.04408,,1.38991,28.5,48.5,279.29106715450814,13620.682356095525,25.050140006187444,73,475284.79849100515,0.0005876288659793814
2023,WA,WNT,onshore wind turbine,,7549.639,,25.75937,,,27.0,3412.000229414943,99.99999327623307,0,,0.0
2023,NE,COW,all coal products,4.83,17916.482,0.27,194.10765,244.9,18.7,13.66897809514167,10834.027014901698,31.49336802748372,95,1043.731687950793,0.01309625668449198
2023,VA,NUC,nuclear,,29662.935,,310.02964,182.6,,6.155830500252251,10451.751992848987,32.645244570809425,0,,0.0
2023,KS,TSN,estimated total solar,,210.13587,,,,,,,,0,,0.0
2023,IN,PET,petroleum,,96.71815,,1.19372,25.0,47.7,258.48302516125466,12342.254271819715,27.64486879670275,73,493185.6120076739,0.0005241090146750524
2023,IN,NG,natural gas,,34849.28217,,326.0886,807.3,47.9,23.16546998190293,9357.11095595287,36.46424645450347,53,1374.4902912587022,0.016853862212943632
2023,IN,COW,all coal products,8.77,40931.63016,2.85,464.96087,1387.6,58.3,33.90043334643479,11359.451558183431,30.03666138742385,95,1424.326365016682,0.023801029159519725
2023,WA,COW,all coal products,7.71,4162.60729,0.38,49.49928,182.2,4.7,43.77064356700341,11891.412413300222,28.692975076566775,95,1129.1000261521187,0.03876595744680851
2023,CA,TSN,estimated total solar,,68978.08598,,,,,,,,0,,0.0
2023,MI,TSN,estimated total solar,,1566.19885,,,,,47.09,,,0,,0.0
2023,AZ,WNT,onshore wind turbine,,1733.354,,5.91421,,,27.0,3412.003549188452,99.99989597934467,0,,0.0
