Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $),Heat_Rate (Btu/kWh),efficiency%,Emission_Factor_CO2,CO2_Intensity_kg_per_MWh,CtoE_Ratio
2023,VA,PET,petroleum,,134.54548,0.21,3.14837,,25.2,23400.04287026216,14.581169867582272,73,1708.2031295291374,0.0
2023,VA,COW,all coal products,17.49,1415.02692,1.05,18.7517,,78.4,13251.832693048695,25.747382109568733,95,1258.924105839626,0.0
2023,CO,COW,all coal products,6.93,18787.6167,0.34,201.86808,,426.3,10744.741242246017,31.755069043307888,95,1020.7504180133716,0.0
2023,MS,NUC,nuclear,,11749.621,,122.80413,,79.8,10451.752443759675,32.645243162424585,0,0.0,0.0
2023,WA,TSN,estimated total solar,,882.67969,,,28.528,,,,0,,0.0
2023,WI,NG,natural gas,,25621.19398,,213.0315,,730.9,8314.659346722607,41.035956588466966,53,440.6769453762982,0.0
2023,SD,TSN,estimated total solar,,50.22785,,,47.09,,,,0,,0.0
2023,SD,NG,natural gas,,2115.78026,,21.90664,,50.3,10353.929665644959,32.95367179594862,53,548.7582722791827,0.0
2023,NE,NUC,nuclear,,6926.053,,72.38939,,47.4,10451.752246192746,32.64524377950968,0,0.0,0.0
2023,AL,TSN,estimated total solar,,1222.82361,,,46.27,,,,0,,0.0
2023,AK,TSN,estimated total solar,,18.49755,,,,,,,0,,0.0
2023,OK,PET,petroleum,,19.72744,,0.23934,,4.8,12132.339523019711,28.123182618868558,73,885.6607851804389,0.0
2023,DE,WNT,onshore wind turbine,,4.165,,0.01421,,,3411.764705882353,100.00689655172413,0,0.0,0.0
2023,FL,TSN,estimated total solar,,17804.32577,,,46.27,,,,0,,0.0
2023,KY,COW,all coal products,8.85,43447.44888,2.43,464.31623,,1159.2,10686.846799277482,31.92709752544295,95,1015.2504459313607,0.0
2023,CA,PET,petroleum,,75.04108,,0.92435,,8.4,12317.91973143244,27.699482334613506,73,899.2081403945681,0.0
2023,CA,NUC,nuclear,,17718.368,,185.18799,,106.3,10451.752102676724,32.645244227770924,0,0.0,0.0
2023,CA,NG,natural gas,,94390.15321,,784.85706,,5455.5,8315.031105562923,41.03412190144789,53,440.69664859483487,0.0
2023,MD,NUC,nuclear,,14983.751,,156.60645,,92.2,10451.752034587334,32.64524444044291,0,0.0,0.0
2023,UT,WNT,onshore wind turbine,,683.468,,2.332,27.0,,3412.010511099276,99.99969193825044,0,0.0,inf
2023,UT,NG,natural gas,,11834.24662,,94.23623,,729.2,7963.010492002067,42.84811634276966,53,422.0395560761096,0.0
2023,AK,COW,all coal products,6.8,730.68146,0.12,14.93361,,49.4,20437.921060704073,16.694457278045963,95,1941.602500766887,0.0
2023,TN,NUC,nuclear,,37937.437,,396.51268,,233.3,10451.751919877983,32.645244798728754,0,0.0,0.0
2023,AL,NUC,nuclear,,45579.039,,476.38082,,312.3,10451.752174941643,32.64524400205701,0,0.0,0.0
2023,AK,PET,petroleum,,885.27548,,8.75927,,132.1,9894.400328358806,34.4841515076028,73,722.2912239701928,0.0
2023,TN,PET,petroleum,,102.04408,,1.38991,,28.5,13620.682356095525,25.050140006187444,73,994.3098119949733,0.0
2023,WA,WNT,onshore wind turbine,,7549.639,,25.75937,27.0,,3412.000229414943,99.99999327623307,0,0.0,inf
2023,NE,COW,all coal products,4.83,17916.482,0.27,194.10765,,244.9,10834.027014901698,31.49336802748372,95,1029.2325664156613,0.0
2023,VA,NUC,nuclear,,29662.935,,310.02964,,182.6,10451.751992848987,32.645244570809425,0,0.0,0.0
2023,KS,TSN,estimated total solar,,210.13587,,,,,,,0,,0.0
2023,IN,PET,petroleum,,96.71815,,1.19372,,25.0,12342.254271819715,27.64486879670275,73,900.9845618428393,0.0
2023,IN,NG,natural gas,,34849.28217,,326.0886,,807.3,9357.11095595287,36.46424645450347,53,495.9268806655021,0.0
2023,IN,COW,all coal products,8.77,40931.63016,2.85,464.96087,,1387.6,11359.451558183431,30.03666138742385,95,1079.147898027426,0.0
2023,WA,COW,all coal products,7.71,4162.60729,0.38,49.49928,,182.2,11891.412413300222,28.692975076566775,95,1129.6841792635212,0.0
2023,CA,TSN,estimated total solar,,68978.08598,,,,,,,0,,0.0
2023,MI,TSN,estimated total solar,,1566.19885,,,47.09,,,,0,,0.0
2023,AZ,WNT,onshore wind turbine,,1733.354,,5.91421,27.0,,3412.003549188452,99.99989597934467,0,0.0,inf
2023,GA,TSN,estimated total solar,,8068.59236,,,46.27,,,,0,,0.0
2023,AR,TSN,estimated total solar,,1194.03417,,,47.09,,,,0,,0.0
2023,ME,COW,all coal products,6.66,43.20506,0.97,1.29501,,7.0,29973.572539883055,11.383361110725016,95,2847.48939128889,0.0
2023,KS,NUC,nuclear,,10301.865,,107.67254,,66.5,10451.752182735845,32.645243977712425,0,0.0,0.0
2023,OR,PET,petroleum,,0.19502,,0.00199,,0.0,10204.081632653062,33.437599999999996,73,744.8979591836734,0.0
2023,OH,NG,natural gas,,78704.77666,,597.48299,,1262.2,7591.445085742271,44.945329399908104,53,402.34658954434036,0.0
2023,FL,PET,petroleum,0.32,1202.44055,4.95,13.46578,,106.5,11198.70749535185,30.467801765660806,73,817.5056471606849,0.0
2023,FL,COW,all coal products,8.76,11691.45238,2.8,127.88145,,428.6,10938.029411877056,31.1939186805905,95,1039.1127941283203,0.0
2023,VT,PET,petroleum,,2.61064,,0.05133,,0.7,19661.84537124996,17.353406740697448,73,1435.3147121012473,0.0
2023,VT,NG,natural gas,,1.2637,,0.10321,,0.0,81672.86539526786,4.17764208894487,53,4328.661865949197,0.0
2023,VA,NG,natural gas,,50604.69376,,410.20817,,1240.6,8106.128888862975,42.09160805088793,53,429.6248311097377,0.0
2023,OH,WNT,onshore wind turbine,,2819.321,,9.61959,,,3412.023675204065,99.99930612427349,0,0.0,0.0
