Year,State,fueltypeid,fuelTypeDescription,Ash Content (%),Generation (Thousands of MWh),Sulfur Content (%),Total Consumption (millions of MMBtu),Cost ($/MWh),Raw Cost (Millions of $)
2023,TN,WNT,onshore wind turbine,,16.213,,0.05532,,
2023,TN,NG,natural gas,,15029.97376,,138.60248,,291.3
2023,WV,NG,natural gas,,3679.6577,,40.84029,,64.6
2023,CO,WNT,onshore wind turbine,,16091.081,,54.90276,27.0,
2023,CO,PET,petroleum,,47.93543,,2.935,,77.5
2023,NM,COW,all coal products,19.41,7371.81332,0.85,73.7566,,263.6
2023,LA,NUC,nuclear,,12211.457,,127.63112,,73.4
2023,CO,NG,natural gas,,17219.75981,,148.49167,,549.6
2023,ME,WNT,onshore wind turbine,,2338.71,,7.97968,,
2023,AK,WNT,onshore wind turbine,,111.36886,,0.38004,,
2023,DE,NG,natural gas,,4382.64005,,43.97482,,57.9
2023,MI,NUC,nuclear,,27996.108,,292.60838,,158.7
2023,WV,TSN,estimated total solar,,47.30431,,,,
2023,NC,NUC,nuclear,,42335.726,,442.54374,,244.6
2023,IA,TSN,estimated total solar,,911.10882,,,47.09,
2023,AK,NG,natural gas,,3182.4071,,28.43803,,224.7
2023,SC,TSN,estimated total solar,,3351.29057,,,46.27,
2023,SC,NUC,nuclear,,55622.34,,581.35091,,321.5
2023,SC,NG,natural gas,,23691.4439,,195.03298,,746.2
2023,CO,TSN,estimated total solar,,5319.19833,,,28.528,
2023,NY,PET,petroleum,,413.01517,0.36,5.0128,,68.8
2023,NY,NUC,nuclear,,27524.923,,287.68367,,185.2
2023,OK,WNT,onshore wind turbine,,37012.334,,126.28608,,
2023,OK,NG,natural gas,,45212.91499,,382.27799,,1096.6
2023,IA,WNT,onshore wind turbine,,41439.49501,,141.39176,33.0,
2023,NH,NUC,nuclear,,9534.781,,99.65517,,58.6
2023,MI,WNT,onshore wind turbine,,8292.415,,28.29372,33.0,
2023,AR,COW,all coal products,4.7,16844.43645,0.22,178.45679,,387.6
2023,KS,COW,all coal products,5.22,16290.68363,0.28,182.05702,,308.7
2023,MO,NUC,nuclear,,9179.744,,95.94441,,67.5
2023,IN,TSN,estimated total solar,,2203.21296,,,47.09,
2022,TN,TSN,estimated total solar,,751.55145,,,39.548,
2022,TN,COW,all coal products,8.04,15885.53977,1.74,190.96541,,618.3
2022,UT,NG,natural gas,,11107.08691,,89.05552,,685.4
2022,OH,PET,petroleum,,1272.60495,,23.32457,,141.8
2022,PA,TSN,estimated total solar,,1046.53604,,,48.086,
2022,OK,PET,petroleum,,28.5796,,0.33069,,7.6
2022,NH,PET,petroleum,,445.35174,0.48,4.34367,,79.6
2022,NH,NG,natural gas,,4501.92276,,33.47054,,291.2
2022,UT,WNT,onshore wind turbine,,723.439,,2.46838,29.555555555555557,
2022,WY,NG,natural gas,,1661.25445,,22.96939,,86.2
2022,WI,WNT,onshore wind turbine,,1815.722,,6.19525,27.0,
2022,AK,TSN,estimated total solar,,15.71979,,,,
2022,KS,NUC,nuclear,,8981.959,,93.84009,,59.3
2022,MA,PET,petroleum,,756.06189,0.3,7.31517,,137.8
2022,MA,NG,natural gas,,15775.96667,,133.50796,,1397.9
2022,NE,WNT,onshore wind turbine,,12614.061,,43.03918,29.0,
2022,NE,NG,natural gas,,1260.18185,,13.41907,,112.3
2022,IL,TSN,estimated total solar,,2794.9352,,,53.078,
2022,GA,COW,all coal products,7.06,16778.38303,1.36,179.98955,,676.3
2022,IL,WNT,onshore wind turbine,,23493.80554,,80.16085,27.0,
2022,IL,NUC,nuclear,,98869.581,,1032.95171,,641.0
2022,IA,COW,all coal products,4.92,18172.12614,0.31,226.117,,332.3
2022,CT,TSN,estimated total solar,,1470.31565,,,62.06,
2022,CA,WNT,onshore wind turbine,,14638.061,,49.94505,,
2022,DE,TSN,estimated total solar,,221.93297,,,48.086,
2022,NM,TSN,estimated total solar,,2566.43969,,,28.675624999999997,
2022,NC,WNT,onshore wind turbine,,546.755,,1.86553,,
2022,NC,TSN,estimated total solar,,11858.41022,,,39.548,
2022,NC,PET,petroleum,,277.75199,,3.77869,,74.2
2022,ME,WNT,onshore wind turbine,,2716.384,,9.26829,,
2022,MD,WNT,onshore wind turbine,,497.608,,1.69784,,
2022,MD,TSN,estimated total solar,,1996.37016,,,48.086,
2022,MD,PET,petroleum,,142.8643,,1.92654,,48.4
2022,MD,COW,all coal products,12.38,4639.31405,2.27,52.48991,,163.7
2022,ND,WNT,onshore wind turbine,,16249.888,,55.44463,28.0,
2022,ND,COW,all coal products,9.79,24831.18527,0.73,288.99473,,474.1
2022,NY,WNT,onshore wind turbine,,4567.508,,15.58434,,
2022,OH,NG,natural gas,,68864.96911,,524.31167,,3075.4
2022,DE,COW,all coal products,7.45,104.74978,2.17,1.84569,,5.8
2022,CO,NG,natural gas,,15445.52673,,142.28214,,955.5
2022,MO,NUC,nuclear,,8874.76949,,92.72021,,64.6
2022,IA,WNT,onshore wind turbine,,45761.36955,,156.1378,28.0,
2022,MT,WNT,onshore wind turbine,,4021.86,,13.72259,28.51851851851852,
2022,VA,TSN,estimated total solar,,5015.07162,,,48.086,
2022,NE,NUC,nuclear,,5618.504,,58.69999,,37.7
2022,NH,NUC,nuclear,,10921.528,,114.10396,,67.1
2022,MT,PET,petroleum,,464.87867,,7.47191,,41.4
2022,MT,COW,all coal products,9.12,11651.07251,0.7,128.26228,,269.5
2022,MA,TSN,estimated total solar,,5353.15349,,,62.06,
2022,WV,TSN,estimated total solar,,33.2145,,,48.086,
2022,ME,PET,petroleum,,274.26939,0.45,3.71228,,68.6
2022,MD,NG,natural gas,,13949.64162,,106.62797,,833.7
2022,NM,COW,all coal products,20.47,13291.99638,0.79,136.55173,,399.8
2022,NJ,NG,natural gas,,33394.32334,,269.05927,,1813.6
2022,CT,PET,petroleum,,314.36881,0.28,4.01405,,79.8
2022,LA,COW,all coal products,4.95,8172.86284,0.37,91.93676,,244.2
2022,MI,NG,natural gas,,41183.78402,,367.39778,,2203.4
2022,FL,PET,petroleum,0.28,1319.16485,4.54,15.5539,,198.0
2022,FL,COW,all coal products,8.51,15531.57239,2.68,169.69883,,608.2
2022,LA,PET,petroleum,0.52,3106.6338,5.67,35.16372,,185.7
2022,TX,TSN,estimated total solar,,25437.07827,,,43.7,
2022,NM,WNT,onshore wind turbine,,14434.55068,,49.2507,29.27777777777778,
2022,NM,PET,petroleum,,18.92466,,0.21445,,6.8
2022,SD,TSN,estimated total solar,,4.34446,,,43.7,
2022,SD,NG,natural gas,,1424.3383,,15.29937,,57.3
2022,TX,PET,petroleum,,373.50556,,5.26079,,82.4
2022,TX,NG,natural gas,,256140.17982,,2324.03563,,11969.3
2022,TX,COW,all coal products,8.42,85336.95279,0.53,926.22913,,2128.5
2022,WA,TSN,estimated total solar,,476.50139,,,28.02125,
2022,WI,NG,natural gas,,23276.42845,,201.51365,,1047.8
2022,VT,WNT,onshore wind turbine,,409.185,,1.39614,,
2022,VA,PET,petroleum,,651.86699,0.23,9.23575,,126.4
2022,VA,NUC,nuclear,,28197.337,,294.59503,,168.7
2022,MO,TSN,estimated total solar,,680.75981,,,43.7,
2022,NV,PET,petroleum,,9.10575,,0.11115,,3.0
2022,MS,COW,all coal products,10.62,5651.36728,0.48,64.18003,,253.4
2022,WI,PET,petroleum,0.4,175.11527,5.86,2.37754,,18.0
2022,WI,COW,all coal products,5.12,21922.94807,0.4,228.62892,,542.9
2022,CA,TSN,estimated total solar,,62909.92353,,,27.3175,
2022,FL,TSN,estimated total solar,,13884.58416,,,31.01,
2022,KY,COW,all coal products,8.85,47053.32664,2.51,502.52881,,1194.1
2022,IL,NG,natural gas,,19789.29049,,176.08612,,1025.3
2022,AL,PET,petroleum,,40.91709,,0.71551,,11.0
2022,ID,WNT,onshore wind turbine,,2441.688,,8.33103,29.555555555555557,
2022,MI,TSN,estimated total solar,,1105.07436,,,53.078,
2022,NJ,NUC,nuclear,,28318.8,,295.86403,,179.2
2022,VA,COW,all coal products,16.73,3346.07301,1.52,38.5527,,110.8
2022,AK,WNT,onshore wind turbine,,139.276,,0.47521,,
2022,NC,NG,natural gas,,58131.39645,,489.05511,,3494.4
2022,AR,TSN,estimated total solar,,966.73478,,,43.7,
2022,OR,WNT,onshore wind turbine,,8149.18841,,27.80503,29.555555555555557,
2022,OR,NG,natural gas,,19054.76026,,147.43982,,797.2
2022,WA,PET,petroleum,,43.723,,1.48453,,6.3
2022,WA,NG,natural gas,,14532.32189,,121.99845,,700.3
2022,NC,NUC,nuclear,,42644.282,,445.53121,,249.5
2022,ME,TSN,estimated total solar,,768.03807,,,62.06,
2022,KS,TSN,estimated total solar,,161.27242,,,29.33,
2022,NC,COW,all coal products,9.04,14673.74341,1.8,161.93508,,539.9
2022,ND,TSN,estimated total solar,,1.71878,,,43.7,
2022,PA,NUC,nuclear,,76166.017,,795.75352,,503.0
2022,IN,WNT,onshore wind turbine,,9985.205,,34.06953,27.0,
2022,LA,NUC,nuclear,,16164.721,,168.88284,,92.5
2022,ID,COW,all coal products,,6.26699,,0.45803,,0.0
2022,MN,PET,petroleum,,-61.47689,,0.85498,,14.5
2022,MS,TSN,estimated total solar,,525.92121,,,44.54,
2022,MS,NG,natural gas,,51719.17121,,397.67245,,2497.5
2022,NE,COW,all coal products,4.89,19945.26948,0.26,220.61637,,266.2
2022,OK,WNT,onshore wind turbine,,37552.755,,128.13,29.0,
2022,OK,NG,natural gas,,36022.92097,,309.79243,,2230.9
2022,SD,COW,all coal products,5.18,1874.80217,0.33,20.55732,,42.7
2022,SC,TSN,estimated total solar,,2941.99521,,,31.01,
2022,SC,NUC,nuclear,,54369.751,,568.09624,,325.2
2022,PA,PET,petroleum,,312.6673,1.42,3.60616,,83.5
2022,OR,TSN,estimated total solar,,2012.52449,,,28.02125,
2022,OH,TSN,estimated total solar,,1246.67228,,,48.086,
2022,UT,TSN,estimated total solar,,4628.93709,,,28.02125,
2022,UT,PET,petroleum,,31.03924,,0.32152,,9.2
2022,TN,NUC,nuclear,,35635.4,,372.65045,,218.8
2022,AL,COW,all coal products,6.55,25943.99013,0.43,264.51125,,743.9
2022,ME,COW,all coal products,6.97,42.44227,0.94,1.26928,,5.8
2022,SC,COW,all coal products,9.24,14243.46192,2.0,149.27133,,525.5
2022,MD,NUC,nuclear,,14810.684,,154.73638,,90.9
2022,TN,PET,petroleum,,146.61361,,2.20465,,56.9
2022,MN,WNT,onshore wind turbine,,15091.227,,51.49124,28.0,
2022,MN,TSN,estimated total solar,,2144.36494,,,43.7,
2022,ND,NG,natural gas,,1453.35858,,16.35288,,44.8
2022,HI,WNT,onshore wind turbine,,625.42187,,2.13394,,
2022,VT,PET,petroleum,,5.26506,,0.10472,,1.4
2022,VT,NG,natural gas,,1.49874,,0.09495,,0.1
2022,VA,NG,natural gas,,48801.98702,,393.07743,,2601.8
2022,MT,NG,natural gas,,728.75784,,8.58504,,33.4
2022,GA,TSN,estimated total solar,,7331.77903,,,31.01,
2022,RI,PET,petroleum,,60.05078,,0.64758,,12.0
2022,DC,TSN,estimated total solar,,198.1141,,,48.086,
2022,RI,NG,natural gas,,6963.77276,,54.82586,,434.2
2022,HI,TSN,estimated total solar,,1881.68869,,,,
2022,HI,COW,all coal products,7.58,647.75791,0.21,7.6795,,29.5
2022,NY,NUC,nuclear,,26812.164,,280.12327,,177.1
2022,CT,NUC,nuclear,,16464.167,,172.01134,,101.1
2022,CT,NG,natural gas,,24530.68681,,181.70682,,1509.7
2022,DE,NG,natural gas,,4749.64478,,45.73557,,215.0
