Year,State,fuelTypeDescription,Generation_MWh,Expenditure_USD,Price_per_MWh
2016,SC,nuclear,55825916.0,399500000.0,7.156174562366339
2016,SC,petroleum,113861.87,10800000.0,94.85177083425734
2016,SD,natural gas,918561.39,19400000.0,21.11998197529291
2016,TN,all coal products,31167633.57,734800000.0,23.575739183075875
2016,TN,nuclear,29578086.0,219600000.0,7.4244154946334255
2016,TN,petroleum,121581.46,14200000.0,116.79412305132706
2016,TX,natural gas,225976260.25,4096000000.0,18.12579779605411
2016,TX,nuclear,42079445.0,312400000.0,7.424052289663041
2016,TX,petroleum,196421.94,9300000.0,47.347052981963216
2016,UT,all coal products,25939443.11,496500000.0,19.1407347449411
2016,UT,petroleum,31552.02,3700000.0,117.26665994760398
2016,VA,all coal products,16499412.359999998,508300000.0,30.80715778898201
2016,VA,natural gas,40904843.16,955100000.0,23.349313338376827
2016,VA,nuclear,29731895.0,202800000.0,6.820957762698947
2016,VT,natural gas,1965.43,0.0,0.0
2016,VT,petroleum,4016.7400000000002,400000.0,99.5832441233438
2016,WA,all coal products,4601726.29,115500000.0,25.09927638481949
2016,WA,natural gas,10982195.47,299900000.0,27.307836654267817
2016,WA,petroleum,22018.0,1700000.0,77.20955581796711
2016,WI,all coal products,33362840.56,747900000.0,22.4171559569387
2016,WI,natural gas,15472759.35,338000000.0,21.844843079007752
2016,WI,petroleum,147111.25,6700000.0,45.54376364825939
2016,WV,all coal products,71512960.99000001,1619700000.0,22.649041202845595
2016,WV,natural gas,1224566.66,26700000.0,21.80363133518595
2016,WV,petroleum,122668.76000000001,14200000.0,115.75889411452434
2016,WY,all coal products,40026873.9,712400000.0,17.79804242968872
2016,WY,natural gas,788142.62,14400000.0,18.270804844940375
2016,WY,petroleum,55635.57,4900000.0,88.07315176244262
2017,AK,all coal products,555706.78,28400000.0,51.106088718226545
2017,AK,natural gas,3234868.4899999998,204800000.0,63.31014711513049
2017,AK,petroleum,880682.36,81400000.0,92.42833023248019
2017,AL,all coal products,31440401.11,684100000.0,21.758628256889946
2017,AL,nuclear,42651973.0,331200000.0,7.765174192527975
2017,CA,natural gas,88350158.3,2259700000.0,25.57663781797661
2017,CO,all coal products,29242216.43,547000000.0,18.705832415590258
2017,CO,petroleum,7248.64,1500000.0,206.93536994525869
2017,DC,natural gas,19704.0,0.0,0.0
2017,DE,all coal products,358797.1,12900000.0,35.95346785132879
2017,DE,natural gas,6723188.390000001,123200000.0,18.324638973860434
2017,FL,all coal products,37512761.95,1158700000.0,30.88815485099198
2017,FL,natural gas,161104588.41,5091900000.0,31.606176150870812
2017,FL,nuclear,29146219.0,210500000.0,7.2222060775704735
2017,FL,petroleum,1462884.06,94500000.0,64.59842073882464
2017,GA,all coal products,32487057.88,930300000.0,28.636018793586118
2017,GA,natural gas,52722499.77,1324900000.0,25.129688572807215
2017,GA,nuclear,33708805.0,280500000.0,8.321267989179681
2017,HI,all coal products,1375723.95,46000000.0,33.436940601346656
2017,HI,petroleum,6633596.16,717200000.0,108.11631921832274
2017,IA,all coal products,25358229.58,419000000.0,16.523235531019278
2017,IA,petroleum,146719.31,9100000.0,62.02319244821967
2017,ID,petroleum,169.61,0.0,0.0
2017,IL,natural gas,15016209.629999999,471900000.0,31.42603970160478
2017,IL,petroleum,51145.93,8000000.0,156.41518298718978
2017,IN,all coal products,72384956.64,1650500000.0,22.801699090718692
2017,IN,natural gas,17975916.9,450500000.0,25.06130855555969
2017,KS,all coal products,19389770.970000003,367900000.0,18.97392189774792
2017,KS,nuclear,10647987.0,71200000.0,6.686709891738222
2017,KY,all coal products,57236508.96,1227100000.0,21.439113291440687
2017,KY,natural gas,10379628.370000001,309100000.0,29.779486218734434
2017,KY,petroleum,497770.06,21200000.0,42.58994604858316
2017,LA,natural gas,59001092.05,937800000.0,15.894621055577565
2017,LA,petroleum,4569752.819999999,111500000.0,24.399569165318663
2017,MA,natural gas,22152558.16,609500000.0,27.513752389128136
2017,MA,petroleum,265507.27999999997,29600000.0,111.48470203905521
2017,MD,all coal products,8514008.66,252800000.0,29.69224135132604
2017,MD,nuclear,15106988.0,112900000.0,7.473362658393586
2017,MD,petroleum,102156.55,17400000.0,170.3268170273957
2017,ME,all coal products,67935.37999999999,7400000.0,108.92704213916227
2017,ME,natural gas,2237068.07,51500000.0,23.02120382058826
2017,ME,petroleum,132391.44,17500000.0,132.18377260644647
2017,MI,all coal products,42020547.69,969800000.0,23.079185144242942
2017,MN,all coal products,22781897.700000003,492200000.0,21.604872714356887
2017,MN,natural gas,6707592.41,196400000.0,29.280252584697525
2017,MN,nuclear,13904351.0,114400000.0,8.227640398318483
2017,MN,petroleum,35152.02,4300000.0,122.3258293548991
2017,MO,all coal products,67518943.13,1286300000.0,19.050949857484834
2017,MO,natural gas,5205285.0200000005,157600000.0,30.276920359684738
2017,MO,nuclear,8304127.0,75600000.0,9.103907009129315
2017,MO,petroleum,60719.75,9700000.0,159.75032835280118
2017,MS,all coal products,4628229.56,143100000.0,30.91895035560855
2017,MS,natural gas,46158472.85,1104400000.0,23.926268175919514
2017,MS,petroleum,11460.34,1700000.0,148.33765839407906
2017,MT,all coal products,13864099.329999998,266600000.00000003,19.22952177810169
2017,MT,natural gas,416521.31000000006,8600000.0,20.647202900615095
2017,NC,all coal products,34460166.78,996200000.0,28.908739947775725
2017,NC,natural gas,38589794.18,1161500000.0,30.098631637739405
2017,NC,nuclear,42374264.0,297000000.0,7.008971294463073
2017,NC,petroleum,251381.33,35000000.0,139.23070579664767
2017,ND,natural gas,676031.09,28900000.0,42.749513191767555
2017,NE,all coal products,21173562.78,291900000.0,13.786059674176382
2017,NE,natural gas,629354.0900000001,26100000.0,41.47108982798538
2017,NE,petroleum,5641.28,1200000.0,212.71768109365252
2017,NH,all coal products,287281.07,15700000.0,54.65031162686772
2017,NH,nuclear,9990704.0,74700000.0,7.476950573252896
2017,NH,petroleum,104895.62999999999,11100000.0,105.81947026773184
2017,NJ,natural gas,37707847.690000005,780100000.0,20.688001246140598
2017,NJ,nuclear,34032698.0,261200000.0,7.674971875576835
2017,NJ,petroleum,156363.78,4500000.0,28.7790433308788
2017,NM,natural gas,9131655.14,270100000.0,29.57842755327705
2017,NM,petroleum,40850.25,6700000.0,164.01368412678013
2017,NV,all coal products,1865591.52,66200000.0,35.48472390140367
2017,NV,natural gas,26625904.15,689900000.0,25.91085719055291
2017,NV,petroleum,8746.33,1300000.0,148.63376982117072
2017,NY,all coal products,770296.15,14700000.0,19.083569351865513
2017,NY,natural gas,47271756.02,1333800000.0,28.215579709704212
2017,NY,petroleum,597893.3200000001,57800000.0,96.67276429848722
2017,OH,nuclear,17687789.0,136400000.0,7.711534776901737
2017,OK,petroleum,16054.11,2300000.0,143.26549400745353
2017,OR,all coal products,1728104.7000000002,41200000.0,23.84114805080965
2017,OR,natural gas,15066378.51,268700000.0,17.834411887478858
2017,OR,petroleum,10394.32,1300000.0,125.06830653664694
2017,PA,all coal products,47634271.01,942900000.0,19.79457184937404
2017,PA,natural gas,72503447.53,1395300000.0,19.2446021194049
2017,PA,petroleum,355418.32,41700000.0,117.32653510938884
2017,SC,all coal products,18151744.490000002,614200000.0,33.8369681403553
2017,SC,nuclear,54344554.0,395900000.0,7.284998603539925
2017,SC,petroleum,97651.36,13600000.0,139.2709737990336
2017,SD,natural gas,654347.6399999999,18600000.0,28.425257253162865
2017,SD,petroleum,3030.71,1000000.0,329.95568695124246
2017,TN,all coal products,27715284.04,671700000.0,24.23572491736224
2017,TN,natural gas,10268361.15,230500000.0,22.447593791537024
2017,TN,nuclear,31817502.0,237800000.0,7.4738739703701444
2017,TN,petroleum,123663.45,17300000.0,139.89582208809475
2017,TX,all coal products,134648357.89000002,2510700000.0,18.64634696882897
2017,TX,natural gas,204511995.67000002,4358100000.0,21.30975244617053
2017,TX,petroleum,163710.61000000002,9800000.0,59.86172796008761
2017,UT,all coal products,26389567.490000002,516500000.0,19.572128273633936
2017,UT,natural gas,5870851.63,140900000.0,23.99992520335589
2017,UT,petroleum,38412.94,5600000.0,145.78420709271407
2017,VA,all coal products,10726422.43,315900000.0,29.450639489684914
2017,VA,natural gas,44506885.45,1090000000.0,24.490592612339267
2017,VA,nuclear,30553734.0,211000000.0,6.905866235531146
2017,VT,natural gas,1807.34,0.0,0.0
2017,WA,nuclear,8128259.0,64200000.0,7.898370364428594
2017,WA,petroleum,23116.54,2800000.0,121.12539333308531
2017,WI,nuclear,9648979.0,72100000.0,7.472293182522213
2017,WI,petroleum,144395.47,8300000.000000001,57.48102762503561
2017,WY,petroleum,43846.08,6200000.0,141.40374692560886
2018,AK,all coal products,628564.0700000001,34000000.0,54.091542330760326
2018,AK,natural gas,2947902.06,170600000.0,57.87166484085974
2018,AL,nuclear,39462827.0,306800000.0,7.774405011582165
2018,AR,natural gas,20623704.689999998,515000000.0,24.97126523779759
2018,AR,nuclear,12720818.0,107700000.0,8.46643667097509
2018,AR,petroleum,35517.119999999995,5300000.0,149.22381093962576
2018,AZ,all coal products,30744622.87,790400000.0,25.7085605942253
2018,CA,all coal products,281328.14,0.0,0.0
2018,CA,nuclear,18213519.0,129100000.0,7.088141506317368
2018,CA,petroleum,68878.36,6500000.0,94.36926198591256
2018,CO,natural gas,16398439.409999998,500900000.0,30.545589581807654
2018,CO,petroleum,11882.43,2700000.0,227.22624917630483
2018,CT,all coal products,329700.82,15600000.0,47.3156239041201
