PPA Execution Date,Capacity (MW),Term (years),CAISO,West (non-ISO),MISO,SPP,ERCOT,PJM,NYISO,ISO-NE,Southeast (non-ISO),Hawaii
8/23/18,86.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,29.78,#N/A,#N/A,#N/A,#N/A
8/31/18,102.5,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24.38,#N/A
9/9/18,100.0,15,29.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/11/18,100.0,25,#N/A,21.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/19/18,100.0,10,#N/A,#N/A,35.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/20/18,100.0,25,#N/A,22.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/25/18,60.0,25,#N/A,#N/A,39.48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/1/18,10.5,25,#N/A,#N/A,45.95,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/1/18,20.0,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.98,#N/A
10/18/18,144.0,15,#N/A,#N/A,#N/A,#N/A,32.83,#N/A,#N/A,#N/A,#N/A,#N/A
10/18/18,13.0,25,#N/A,38.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/25/18,128.0,20,25.76,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/1/18,70.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,39.84,#N/A,#N/A,#N/A,#N/A
12/11/18,250.0,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27.15,#N/A
1/29/19,20.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.52,#N/A,#N/A,#N/A
1/29/19,177.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,57.37,#N/A,#N/A,#N/A
2/1/19,4.6,25,#N/A,#N/A,#N/A,45.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/11/19,50.0,30,#N/A,31.81,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/14/19,22.0,20,#N/A,26.54,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/28/19,50.0,20,#N/A,#N/A,47.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/21/19,160.0,30,#N/A,27.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/22/19,120.0,20,#N/A,20.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/22/19,100.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.69,#N/A
4/30/19,75.0,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.26,#N/A
5/28/19,26.0,25,27.70,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/30/19,50.0,15,#N/A,20.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/11/19,55.8,15,22.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/18/19,88.0,25,#N/A,#N/A,37.82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/18/19,22.0,25,#N/A,#N/A,37.82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/21/19,100.0,20,19.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/27/19,50.0,20,#N/A,17.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/27/19,300.0,20,#N/A,15.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/1/19,40.0,15,23.14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/1/19,400.0,25,15.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/1/19,80.0,25,#N/A,24.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/8/19,50.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,37.48,#N/A
7/9/19,62.5,20,26.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/25/19,17.5,20,#N/A,#N/A,#N/A,#N/A,#N/A,25.60,#N/A,#N/A,#N/A,#N/A
7/26/19,112.0,15,27.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/26/19,100.0,20,#N/A,20.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/6/19,100.0,20,19.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/19/19,100.0,20,#N/A,#N/A,40.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/30/19,240.0,20,#N/A,17.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/12/19,65.0,15,#N/A,#N/A,#N/A,#N/A,#N/A,27.35,#N/A,#N/A,#N/A,#N/A
9/19/19,9.3,20,#N/A,#N/A,41.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/22/19,88.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,34.65,#N/A,#N/A,#N/A,#N/A
9/22/19,90.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,33.76,#N/A,#N/A,#N/A,#N/A
9/22/19,70.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,33.76,#N/A,#N/A,#N/A,#N/A
10/1/19,150.0,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.42,#N/A
10/17/19,100.0,20,#N/A,12.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/17/19,100.0,20,#N/A,17.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/18/19,35.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,32.10,#N/A,#N/A,#N/A,#N/A
10/23/19,107.0,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.88,#N/A
11/5/19,132.0,15,24.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/19,250.0,20,#N/A,18.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/14/19,88.0,20,#N/A,18.31,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/19/19,25.0,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,22.96,#N/A
11/21/19,100.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,24.21,#N/A
11/26/19,44.0,15,24.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/26/19,100.0,25,#N/A,21.55,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/26/19,162.0,15,#N/A,38.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/5/19,100.0,20,24.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/10/19,200.0,17,#N/A,23.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/17/19,100.0,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.88,#N/A
12/20/19,50.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,45.04,#N/A,#N/A
12/23/19,80.0,15,#N/A,24.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/23/19,100.0,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.35,#N/A
1/6/20,50.5,20,26.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/22/20,35.0,24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.57,#N/A
2/14/20,50.0,15,31.90,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/14/20,160.5,17,24.61,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/19/20,75.0,25,#N/A,25.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/19/20,80.0,25,25.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/26/20,80.0,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,20.22,#N/A
3/13/20,22.9,30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,122.50,#N/A,#N/A,#N/A
3/25/20,200.0,22,#N/A,19.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/6/20,95.0,20,#N/A,#N/A,24.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/8/20,127.9,12,#N/A,20.15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/8/20,100.0,15,23.50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/2/20,100.0,15,22.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/6/20,79.0,25,#N/A,#N/A,33.30,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/19/20,75.0,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30.78,#N/A
5/26/20,160,20,#N/A,#N/A,24.10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/20,150,15,#N/A,25.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/10/20,20,20,#N/A,#N/A,#N/A,#N/A,#N/A,33.33,#N/A,#N/A,#N/A,#N/A
7/10/20,20,20,#N/A,#N/A,#N/A,#N/A,#N/A,33.89,#N/A,#N/A,#N/A,#N/A
7/24/20,196,15,#N/A,#N/A,#N/A,#N/A,#N/A,30.58,#N/A,#N/A,#N/A,#N/A
7/24/20,100,15,#N/A,#N/A,#N/A,#N/A,#N/A,31.25,#N/A,#N/A,#N/A,#N/A
8/24/20,50,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44.66,#N/A,#N/A
8/26/20,150,20,#N/A,#N/A,34.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/31/20,132,20,#N/A,#N/A,#N/A,#N/A,#N/A,33.15,#N/A,#N/A,#N/A,#N/A
9/14/20,175,17,#N/A,19.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/18/20,70,25,24.24,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/18/20,10,20,25.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/23/20,100,20,#N/A,23.27,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/25/20,200,20,#N/A,22.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/30/20,152.5,15,#N/A,#N/A,#N/A,#N/A,#N/A,31.18,#N/A,#N/A,#N/A,#N/A
10/2/20,233,15,22.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/6/20,20,20,#N/A,#N/A,48.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/29/20,20,14,#N/A,#N/A,#N/A,#N/A,#N/A,31.24,#N/A,#N/A,#N/A,#N/A
11/2/20,63,25,18.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/5/20,26,20,23.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/6/20,56,15,27.46,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/1/20,50,30,#N/A,26.34,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/22/20,200,15,#N/A,18.13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/23/20,10,10,62.05,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/30/20,7.5,25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,38.34,#N/A
12/30/20,80,25,#N/A,34.82,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/21/21,90,20,27.56,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/28/21,96,15,#N/A,#N/A,#N/A,#N/A,#N/A,43.12,#N/A,#N/A,#N/A,#N/A
1/28/21,75,15,22.23,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/21,190,20,#N/A,17.19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/21,190,20,#N/A,16.74,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/4/21,50,20,#N/A,17.25,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/23/21,50,20,21.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/8/21,74.5,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28.28,#N/A
3/25/21,130,25,#N/A,19.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/1/21,150,20,#N/A,12.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/1/21,300,20,#N/A,15.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/8/21,50,15,29.64,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/16/21,40,31,#N/A,#N/A,25.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/7/21,30,20,#N/A,#N/A,33.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/12/21,100,15,22.47,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/21,350,25,#N/A,19.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/21,250,25,#N/A,20.62,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/1/21,90,20,18.32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/4/21,93.5,15,18.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/17/21,200,30,#N/A,25.39,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/12/21,100,25,#N/A,19.77,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/27/21,80,15,#N/A,#N/A,26.36,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/8/21,100,25,#N/A,#N/A,38.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/14/21,30,30,#N/A,#N/A,#N/A,25.42,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/15/21,125,20,#N/A,#N/A,40.12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/15/21,102,15,24.44,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/18/21,60,22,#N/A,25.53,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/13/21,107,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,25.81,#N/A
12/17/21,150,20,#N/A,36.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/13/22,55,20,#N/A,#N/A,#N/A,#N/A,#N/A,42.49,#N/A,#N/A,#N/A,#N/A
1/21/22,70,20,27.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/16/22,40,20,#N/A,32.40,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/21/22,150,20,#N/A,33.29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/28/22,110,13,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62.06,#N/A,#N/A
4/18/22,60,20,#N/A,32.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/20/22,120,15,37.97,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4/28/22,20,20,#N/A,23.86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/13/22,130,20,#N/A,23.96,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/25/22,80,10,#N/A,#N/A,#N/A,29.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/23/22,80,25,#N/A,27.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
7/27/22,66,25,#N/A,30.33,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/22/22,15.2,25,#N/A,#N/A,61.92,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
8/22/22,5.6,25,#N/A,#N/A,62.57,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
9/15/22,66,15,#N/A,#N/A,#N/A,#N/A,#N/A,57.66,#N/A,#N/A,#N/A,#N/A
9/15/22,118,15,#N/A,#N/A,#N/A,#N/A,#N/A,52.42,#N/A,#N/A,#N/A,#N/A
9/27/22,107,20,#N/A,#N/A,#N/A,#N/A,#N/A,37.52,#N/A,#N/A,#N/A,#N/A
9/29/22,100,17,21.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/20/22,125,20,#N/A,19.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/25/22,30,20,#N/A,#N/A,49.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/26/22,60,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,31.01,#N/A
10/28/22,100,15,22.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/21/22,150,15,#N/A,#N/A,#N/A,#N/A,#N/A,50.34,#N/A,#N/A,#N/A,#N/A
1/20/23,100,25,#N/A,28.67,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/24/23,65,20,#N/A,36.43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/30/23,138.8,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46.27,#N/A
7/21/23,140,20,#N/A,26.72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/24/23,100,20,#N/A,23.99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10/24/23,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68.23,#N/A,#N/A,#N/A
10/24/23,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.30,#N/A,#N/A,#N/A
10/24/23,145,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,72.16,#N/A,#N/A,#N/A
10/24/23,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,64.45,#N/A,#N/A,#N/A
10/24/23,125,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.96,#N/A,#N/A,#N/A
10/24/23,135,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,68.40,#N/A,#N/A,#N/A
10/24/23,112,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71.54,#N/A,#N/A,#N/A
10/24/23,200,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61.11,#N/A,#N/A,#N/A
10/24/23,401.64,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,59.95,#N/A,#N/A,#N/A
10/24/23,100,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,55.73,#N/A,#N/A,#N/A
11/15/23,25,25,#N/A,26.83,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11/17/23,300,20,#N/A,#N/A,47.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1/31/24,200,25,#N/A,28.93,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/15/24,125,20,35.91,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
3/21/24,35,12,#N/A,#N/A,48.63,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/3/24,127.85,25,#N/A,25.59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
5/3/24,700,25,#N/A,25.87,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/3/24,92.98,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,78.67,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,280,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,81.62,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,86.37,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,73.55,#N/A,#N/A,#N/A
12/3/24,18,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,15,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.34,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,79.63,#N/A,#N/A,#N/A
12/3/24,500,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,58.89,#N/A,#N/A,#N/A
12/3/24,19.99,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,76.30,#N/A,#N/A,#N/A
12/3/24,200,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,82.56,#N/A,#N/A,#N/A
12/3/24,100,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,75.69,#N/A,#N/A,#N/A
12/3/24,79.8,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,80.74,#N/A,#N/A,#N/A
1/25/25,150,15,45.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2/1/25,12.15,20,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,122.65,#N/A,#N/A,#N/A
6/13/25,90,20,#N/A,28.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/13/25,100,20,#N/A,29.51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
6/13/25,100,20,#N/A,30.60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
